,id,vagueQuestion,clearQuestion,clarifyingQuestion,clarification,answers
166,-2433903014343400592,What was the name of the plant from little shop of horrors?,What is the name of the plant in the 1960 film The Little Shop of Horrors?,"Do you mean a 1960 movie, a 1986 movie, or a musical?",1960 show.,Audrey Jr.
167,-2433903014343400592,What was the name of the plant from little shop of horrors?,What is the name of the plant in the musical The Little Shop of Horrors?,"Do you mean a 1960 movie, a 1986 movie, or a musical?",Musical.,Audrey II
168,-2433903014343400592,What was the name of the plant from little shop of horrors?,What is the name of the plant in the 1986 film Little Shop of Horrors?,"Do you mean a 1960 movie, a 1986 movie, or a musical?",1986 film.,Audrey II
169,637466759495656530,What is the brightest star seen from earth?,What is the brightest star in the night sky seen from Earth?,You mean in the night sky?,Yes.,Sirius
170,637466759495656530,What is the brightest star seen from earth?,"What is the brightest star, seen anytime from Earth?",You mean in the night sky?,"No, visible at any time.",The Sun
171,-970242290152935238,What did the sea dogs have that led to their defeat of the spanish armada?,What kind of ships did the sea dogs have that led to their defeat of the spanish armada?,Are you asking about their ships or about the wheather conditions that helped them? ,About ships.,"smaller, faster, and more manoeuvrable"
172,-970242290152935238,What did the sea dogs have that led to their defeat of the spanish armada?,What kind of storm did the sea dogs have that led to their defeat of the spanish armada?,Are you asking about their ships or about the wheather conditions that helped them? ,About wheather.,a huge storm; huge storm
173,9031064052174526065,When was the forbidden city opened to the public?,At what point was the forbidden city opened to the public?,Do you want to know the exact year or the conditions that lead to it?,Conditions.,when it was transformed into the Palace Museum
174,9031064052174526065,When was the forbidden city opened to the public?,In what year was the forbidden city opened to the public?,Do you want to know the exact year or the conditions that lead to it?,The year.,1925
175,5872845962420620183,When was the first king size bed made?,When was the first larger mattresses that were later standardized as king size beds made?,Do you mean the year that it has been invented or that it has become standardized and made?,Invented.,mid-1940s
176,5872845962420620183,When was the first king size bed made?,When was the first standardized king size bed made?,Do you mean the year that it has been invented or that it has become standardized and made?,Standardized.,1950s
177,3475414091580580387,What is the cost of an airbus a380?,What was the cost of the prototype of the Airbus A380?,"Do you want to know the unit cost, the prototype cost, the total development cost, or the estimated program cost?",Prototype's cost.,€9.5 billion ($10.7 billion)
178,3475414091580580387,What is the cost of an airbus a380?,What was the total developmental cost of the Airbus A380?,"Do you want to know the unit cost, the prototype cost, the total development cost, or the estimated program cost?",Total development cost.,€18 billion
179,3475414091580580387,What is the cost of an airbus a380?,What is the unit cost of an airbus A380?,"Do you want to know the unit cost, the prototype cost, the total development cost, or the estimated program cost?",Unit cost.,US$445.6 million
180,3475414091580580387,What is the cost of an airbus a380?,What is the 2016 estimate of the program cost of the Airbus A380?,"Do you want to know the unit cost, the prototype cost, the total development cost, or the estimated program cost?",Program's cost estimate of 2016.,€25 billion
181,8704046441982292961,When did rolls royce start making jet engines?,When did rolls royce start making jet engines for World War II?,Are you talking about jet engines for World War II or about aero-engines?,For World War II.,1940
182,8704046441982292961,When did rolls royce start making jet engines?,When did rolls royce start making aero- engines?,Are you talking about jet engines for World War II or about aero-engines?,Aero-engines.,1914
183,5297174100764498711,When did i can't get no satisfaction come out?,When did i can't get no satisfaction come out in the US?,When did it come out in what country: US or UK?,In US.,6 June 1965
184,5297174100764498711,When did i can't get no satisfaction come out?,When did i can't get no satisfaction come out in the UK?,When did it come out in what country: US or UK?,In UK.,20 August 1965
185,-3987085921377590111,Who scored hattrick in fifa world cup final?,Who scored a hat trick in a FIFA men's world cup final?,Are you interested in women's or men's FIFA world cup final?,Men's.,Ademir and Geoff Hurst
186,-3987085921377590111,Who scored hattrick in fifa world cup final?,Who scored a hat trick in a FIFA women's world cup final?,Are you interested in women's or men's FIFA world cup final?,Women's.,Carli Lloyd
187,6655612156292942474,Highest paid hollywood actor for a single movie?,"Highest paid hollywood actor for a single movie, who deferred salary against a film's gross?",Based on what: set salary or the gross of film?,The gross of film.,"Bruce Willis, Tom Cruise, and Will Smith"
188,6655612156292942474,Highest paid hollywood actor for a single movie?,"Highest hollywood actor for a single movie, based on a set salary?",Based on what: set salary or the gross of film?,Set salary.,Robert Downey Jr.; Robert John Downey Jr.; Downey
189,-1418263699326033825,List of top 10 largest countries in africa?,List of top 10 largest countries in africa by area?,Largest by what criterria: area or population?,By area.,"Algeria, Democratic Republic of the Congo, Sudan, Libya, Chad, Niger, Angola, Mali, South Africa, Ethiopia"
190,-1418263699326033825,List of top 10 largest countries in africa?,List of top 10 largest countries in africa by population?,Largest by what criterria: area or population?,By population.,"Nigeria, Ethiopia, Egypt, Democratic Republic of the Congo, South Africa, Tanzania, Kenya, Algeria, Sudan, Morocco"
191,-3646009549730386860,Who sings the only fools and horses theme?,Who sings the only Fools and Horses opening theme?,Do you want to know the singer of the closing theam in the 1989 episode or the opening theam?,Of the opening theam.,John Sullivan
192,-3646009549730386860,Who sings the only fools and horses theme?,"Who sings in the only Fools and Horses closing theme in the 1989 episode ""The Jolly Boys' Outing""?",Do you want to know the singer of the closing theam in the 1989 episode or the opening theam?,Of the closing theam.,Chas & Dave
193,-3326481077280280719,Where does the saying all quiet on the western front come from?,What book does the saying all quiet on the western front come from?,Are you asking about the book or the translator this saying came from?,The book.,Im Westen nichts Neues; All Quiet on the Western Front
194,-3326481077280280719,Where does the saying all quiet on the western front come from?,What translator does the saying all quiet on the western front come from?,Are you asking about the book or the translator this saying came from?,Translator.,A. W. Wheen; Arthur Wesley Wheen
